invoiceID,branch,city,cust_type,gender,type,unit_price,quantity,date,time,payment,cost,rating,gross _ncome
135-84-8019,A,Cairo,Normal,Female,Fashion accessories,77.93,9,2/27/2019,16:10,eWallet,701.37,7.6,35.0685
136-08-6195,A,Cairo,Normal,Female,Home and lifestyle,69.96,8,2/15/2019,17:01,Credit card,559.68,6.4,27.984
137-63-5492,C,Alexandria,Normal,Male,Electronic accessories,58.76,10,1/29/2019,14:26,eWallet,587.6,9,29.38
137-74-8729,C,Alexandria,Normal,Female,Fashion accessories,12.19,8,3/13/2019,12:47,eWallet,97.52,6.8,4.876
138-17-5109,A,Cairo,Member,Female,Home and lifestyle,89.21,9,1/15/2019,15:42,Credit card,802.89,6.5,40.1445
139-20-0155,B,Ismailia,Member,Male,Electronic accessories,40.3,10,1/24/2019,17:37,Credit card,403,7,20.15
139-32-4183,A,Cairo,Member,Female,Sports and travel,97.48,9,3/14/2019,14:19,eWallet,877.32,7.4,43.866
139-52-2867,C,Alexandria,Normal,Female,Fashion accessories,22.51,7,2/13/2019,10:50,Credit card,157.57,4.8,7.8785
142-63-6033,B,Ismailia,Normal,Male,Home and lifestyle,92.36,5,3/20/2019,19:17,eWallet,461.8,4.9,23.09
142-72-4741,C,Alexandria,Member,Male,Fashion accessories,93.2,2,2/28/2019,18:37,Credit card,186.4,6,9.32
144-51-6085,A,Cairo,Member,Male,Home and lifestyle,70.74,4,1/5/2019,16:05,Credit card,282.96,4.4,14.148
145-94-9061,B,Ismailia,Normal,Female,Food and beverages,88.36,5,1/25/2019,19:48,Cash,441.8,9.6,22.09
146-09-5432,A,Cairo,Member,Male,Food and beverages,35.04,9,2/9/2019,19:17,eWallet,315.36,4.6,15.768
148-41-7930,C,Alexandria,Normal,Male,Health and beauty,99.96,7,1/23/2019,10:33,Cash,699.72,6.1,34.986
148-82-2527,C,Alexandria,Member,Female,Home and lifestyle,12.12,10,3/5/2019,13:44,Credit card,121.2,8.4,6.06
149-14-0304,C,Alexandria,Member,Female,Health and beauty,28.5,8,2/6/2019,14:24,Cash,228,6.6,11.4
149-15-7606,B,Ismailia,Member,Male,Sports and travel,37.32,9,3/6/2019,15:31,eWallet,335.88,5.1,16.794
149-61-1929,A,Cairo,Normal,Male,Sports and travel,64.19,10,1/19/2019,14:08,Credit card,641.9,6.7,32.095
149-71-6266,B,Ismailia,Member,Male,Sports and travel,78.07,9,1/28/2019,12:43,Cash,702.63,4.5,35.1315
150-89-8043,A,Cairo,Normal,Male,Sports and travel,44.65,3,2/14/2019,15:04,Cash,133.95,6.2,6.6975
151-16-1484,A,Cairo,Member,Male,Electronic accessories,32.25,4,2/13/2019,12:38,eWallet,129,6.5,6.45
151-27-8496,C,Alexandria,Normal,Female,Electronic accessories,56.13,4,1/19/2019,11:43,eWallet,224.52,8.6,11.226
151-33-7434,B,Ismailia,Normal,Female,Food and beverages,67.77,1,2/4/2019,20:43,Credit card,67.77,6.5,3.3885
152-03-4217,B,Ismailia,Normal,Female,Home and lifestyle,11.28,9,3/17/2019,11:55,Credit card,101.52,4.3,5.076
152-08-9985,B,Ismailia,Member,Male,Health and beauty,64.36,9,3/12/2019,12:09,Credit card,579.24,8.6,28.962
152-68-2907,A,Cairo,Normal,Male,Food and beverages,52.2,3,2/15/2019,13:30,Credit card,156.6,9.5,7.83
153-58-4872,C,Alexandria,Member,Female,Food and beverages,74.89,4,3/1/2019,15:32,eWallet,299.56,4.2,14.978
154-74-7179,B,Ismailia,Normal,Male,Sports and travel,54.45,1,2/26/2019,19:24,eWallet,54.45,7.9,2.7225
154-87-7367,C,Alexandria,Normal,Male,Home and lifestyle,65.26,8,3/15/2019,14:04,eWallet,522.08,6.3,26.104
155-45-3814,C,Alexandria,Member,Female,Electronic accessories,88.55,8,3/19/2019,15:29,eWallet,708.4,4.7,35.42
156-20-0370,B,Ismailia,Normal,Female,Electronic accessories,25.45,1,3/10/2019,18:10,Credit card,25.45,5.1,1.2725
156-95-3964,A,Cairo,Normal,Female,Food and beverages,55.39,4,3/25/2019,15:19,eWallet,221.56,8,11.078
157-13-5295,A,Cairo,Member,Male,Health and beauty,51.94,10,3/9/2019,18:24,eWallet,519.4,6.5,25.97
160-22-2687,A,Cairo,Member,Female,Health and beauty,95.95,5,1/23/2019,14:21,eWallet,479.75,8.8,23.9875
162-48-8011,A,Cairo,Member,Female,Food and beverages,44.59,5,2/10/2019,15:10,Cash,222.95,8.5,11.1475
162-65-8559,C,Alexandria,Member,Male,Food and beverages,68.98,1,1/21/2019,20:13,Cash,68.98,4.8,3.449
163-56-7055,C,Alexandria,Member,Male,Fashion accessories,48.71,1,3/26/2019,19:20,Cash,48.71,4.1,2.4355
166-19-2553,A,Cairo,Member,Male,Sports and travel,89.06,6,1/18/2019,17:26,Cash,534.36,9.9,26.718
169-52-4504,A,Cairo,Normal,Female,Electronic accessories,15.69,3,3/14/2019,14:13,Credit card,47.07,5.8,2.3535
172-42-8274,B,Ismailia,Normal,Female,Electronic accessories,38.27,2,3/2/2019,18:18,Credit card,76.54,5.8,3.827
173-50-1108,B,Ismailia,Member,Female,Sports and travel,20.18,4,2/13/2019,12:14,Credit card,80.72,5,4.036
173-57-2300,C,Alexandria,Member,Male,Sports and travel,72.88,2,3/13/2019,12:51,Cash,145.76,6.1,7.288
173-82-9529,B,Ismailia,Normal,Female,Fashion accessories,37.95,10,1/26/2019,14:51,Cash,379.5,9.7,18.975
174-36-3675,C,Alexandria,Member,Male,Food and beverages,99.37,2,2/14/2019,17:29,Cash,198.74,5.2,9.937
174-64-0215,B,Ismailia,Normal,Male,Sports and travel,69.74,10,3/5/2019,17:49,Credit card,697.4,8.9,34.87
174-75-0888,B,Ismailia,Normal,Male,Electronic accessories,21.58,9,3/14/2019,12:32,Cash,194.22,7.3,9.711
175-54-2529,A,Cairo,Member,Male,Food and beverages,22.17,8,3/3/2019,17:01,Credit card,177.36,9.6,8.868
176-64-7711,B,Ismailia,Normal,Male,Food and beverages,32.32,3,3/27/2019,19:11,Credit card,96.96,4.3,4.848
176-78-1170,C,Alexandria,Member,Male,Health and beauty,33.81,3,1/26/2019,15:11,eWallet,101.43,7.3,5.0715
181-82-6255,B,Ismailia,Normal,Female,Home and lifestyle,16.37,6,2/8/2019,10:58,Cash,98.22,7,4.911
181-94-6432,C,Alexandria,Member,Male,Fashion accessories,69.33,2,2/5/2019,19:05,eWallet,138.66,9.7,6.933
182-52-7000,A,Cairo,Member,Female,Sports and travel,27.04,4,1/1/2019,20:26,eWallet,108.16,6.9,5.408
182-69-8360,B,Ismailia,Normal,Female,Electronic accessories,23.65,4,1/30/2019,13:32,Credit card,94.6,4,4.73
182-88-2763,B,Ismailia,Member,Male,Food and beverages,79.91,3,3/20/2019,19:28,Credit card,239.73,5,11.9865
183-21-3799,C,Alexandria,Normal,Female,Electronic accessories,77.63,9,2/19/2019,15:14,eWallet,698.67,7.2,34.9335
183-56-6882,C,Alexandria,Member,Female,Food and beverages,99.42,4,2/6/2019,10:42,eWallet,397.68,7.5,19.884
186-09-3669,C,Alexandria,Member,Female,Health and beauty,81.51,1,1/22/2019,10:57,eWallet,81.51,9.2,4.0755
186-43-8965,A,Cairo,Member,Female,Home and lifestyle,47.68,2,2/24/2019,10:10,Credit card,95.36,4.1,4.768
186-71-5196,A,Cairo,Member,Female,Food and beverages,79.54,2,3/27/2019,16:30,eWallet,159.08,6.2,7.954
186-79-9562,B,Ismailia,Normal,Male,Health and beauty,71.77,7,3/29/2019,14:06,Cash,502.39,8.9,25.1195
187-83-5490,A,Cairo,Member,Male,Electronic accessories,20.77,4,1/31/2019,13:47,Cash,83.08,4.7,4.154
188-55-0967,B,Ismailia,Member,Male,Health and beauty,66.47,10,1/15/2019,15:01,Credit card,664.7,5,33.235
189-08-9157,C,Alexandria,Normal,Female,Fashion accessories,31.73,9,1/8/2019,16:17,Credit card,285.57,5.9,14.2785
189-17-4241,A,Cairo,Normal,Female,Fashion accessories,87.67,2,3/10/2019,12:17,Credit card,175.34,7.7,8.767
189-40-5216,C,Alexandria,Normal,Male,Electronic accessories,96.37,7,1/9/2019,11:40,Cash,674.59,6,33.7295
189-52-0236,A,Cairo,Normal,Male,Electronic accessories,99.55,7,3/14/2019,12:07,Cash,696.85,7.6,34.8425
189-55-2313,C,Alexandria,Normal,Female,Fashion accessories,62.18,10,1/31/2019,10:33,eWallet,621.8,6,31.09
189-98-2939,C,Alexandria,Normal,Male,Fashion accessories,78.55,9,3/1/2019,13:22,Cash,706.95,7.2,35.3475
190-14-3147,B,Ismailia,Normal,Female,Health and beauty,17.97,4,2/23/2019,20:43,eWallet,71.88,6.4,3.594
190-59-3964,B,Ismailia,Member,Male,Food and beverages,47.16,5,2/3/2019,14:35,Credit card,235.8,6,11.79
191-10-6171,B,Ismailia,Normal,Female,Fashion accessories,39.62,7,1/25/2019,13:18,Cash,277.34,7.5,13.867
191-29-0321,B,Ismailia,Member,Female,Fashion accessories,19.77,10,2/27/2019,18:57,Credit card,197.7,5,9.885
192-98-7397,C,Alexandria,Normal,Male,Fashion accessories,12.78,1,1/8/2019,14:11,eWallet,12.78,9.5,0.639
195-06-0432,A,Cairo,Member,Male,Home and lifestyle,81.01,3,1/13/2019,12:55,Credit card,243.03,9.3,12.1515
196-01-2849,C,Alexandria,Member,Female,Fashion accessories,73.38,7,2/10/2019,13:56,Cash,513.66,9.5,25.683
197-77-7132,B,Ismailia,Member,Male,Electronic accessories,91.56,8,1/12/2019,18:22,eWallet,732.48,6,36.624
198-66-9832,B,Ismailia,Member,Female,Fashion accessories,72.04,2,2/4/2019,19:38,Cash,144.08,9.5,7.204
198-84-7132,B,Ismailia,Member,Male,Fashion accessories,40.61,9,1/2/2019,13:40,Cash,365.49,7,18.2745
199-75-8169,A,Cairo,Member,Male,Sports and travel,15.81,10,3/6/2019,12:27,Credit card,158.1,8.6,7.905
200-16-5952,C,Alexandria,Member,Male,Food and beverages,65.65,2,1/17/2019,16:46,Cash,131.3,6,6.565
200-40-6154,B,Ismailia,Member,Male,Home and lifestyle,65.91,6,2/9/2019,11:45,Cash,395.46,5.7,19.773
201-63-8275,C,Alexandria,Member,Female,Sports and travel,67.99,7,2/17/2019,16:50,eWallet,475.93,5.7,23.7965
201-86-2184,B,Ismailia,Member,Female,Electronic accessories,26.26,7,2/2/2019,19:40,Cash,183.82,9.9,9.191
207-73-1363,B,Ismailia,Normal,Male,Health and beauty,69.51,2,3/1/2019,12:15,eWallet,139.02,8.1,6.951
209-61-0206,A,Cairo,Normal,Female,Home and lifestyle,42.91,5,1/5/2019,17:29,eWallet,214.55,6.1,10.7275
210-30-7976,B,Ismailia,Member,Female,Fashion accessories,22.32,4,3/14/2019,11:16,eWallet,89.28,4.1,4.464
210-57-1719,B,Ismailia,Normal,Female,Health and beauty,58.24,9,2/5/2019,12:34,Cash,524.16,9.7,26.208
210-67-5886,C,Alexandria,Member,Female,Health and beauty,98.21,3,2/5/2019,10:41,Credit card,294.63,7.8,14.7315
210-74-9613,C,Alexandria,Normal,Male,Fashion accessories,97.26,4,3/16/2019,15:33,eWallet,389.04,6.8,19.452
211-05-0490,C,Alexandria,Member,Female,Electronic accessories,51.92,5,3/3/2019,13:42,Cash,259.6,7.5,12.98
211-30-9270,C,Alexandria,Normal,Male,Health and beauty,17.41,5,1/28/2019,15:16,Credit card,87.05,4.9,4.3525
212-62-1842,A,Cairo,Normal,Male,Food and beverages,58.26,6,3/28/2019,16:44,Cash,349.56,9.9,17.478
213-32-1216,A,Cairo,Normal,Female,Electronic accessories,66.06,6,1/23/2019,10:28,Cash,396.36,7.3,19.818
213-72-6612,A,Cairo,Normal,Male,Food and beverages,43.25,2,3/20/2019,15:56,Cash,86.5,6.2,4.325
214-17-6927,C,Alexandria,Normal,Female,Food and beverages,16.48,6,2/7/2019,18:23,eWallet,98.88,9.9,4.944
214-30-2776,B,Ismailia,Member,Female,Electronic accessories,34.49,5,3/11/2019,19:44,Credit card,172.45,9,8.6225
217-58-1179,A,Cairo,Member,Male,Home and lifestyle,62.65,4,1/5/2019,11:25,Cash,250.6,4.2,12.53
218-59-9410,A,Cairo,Member,Female,Home and lifestyle,72.42,3,3/29/2019,16:54,eWallet,217.26,8.2,10.863
219-22-9386,B,Ismailia,Member,Male,Sports and travel,99.96,9,3/9/2019,17:26,Credit card,899.64,4.2,44.982
219-61-4139,C,Alexandria,Normal,Male,Electronic accessories,83.08,1,1/23/2019,17:16,eWallet,83.08,6.4,4.154
220-28-1851,A,Cairo,Normal,Male,Home and lifestyle,34.73,2,3/1/2019,18:14,eWallet,69.46,9.7,3.473
220-68-6701,A,Cairo,Normal,Female,Home and lifestyle,77.47,4,3/17/2019,16:36,Cash,309.88,4.2,15.494
221-25-5073,A,Cairo,Normal,Female,Food and beverages,74.66,4,3/4/2019,10:39,Cash,298.64,8.5,14.932
222-42-0244,B,Ismailia,Member,Female,Health and beauty,72.11,9,1/28/2019,13:53,Credit card,648.99,7.7,32.4495
225-32-0908,C,Alexandria,Normal,Female,Sports and travel,44.86,10,1/26/2019,19:54,eWallet,448.6,8.2,22.43
225-98-1496,C,Alexandria,Normal,Female,Fashion accessories,27.02,3,3/2/2019,13:01,Credit card,81.06,7.1,4.053
226-31-3081,C,Alexandria,Normal,Female,Electronic accessories,15.28,5,3/8/2019,10:29,Cash,76.4,9.6,3.82
226-34-0034,B,Ismailia,Normal,Female,Electronic accessories,13.78,4,1/10/2019,11:10,eWallet,55.12,9,2.756
226-71-3580,C,Alexandria,Normal,Female,Sports and travel,23.75,9,1/31/2019,12:02,Cash,213.75,9.5,10.6875
227-03-5010,A,Cairo,Member,Female,Home and lifestyle,52.59,8,3/22/2019,19:20,Credit card,420.72,8.5,21.036
227-07-4446,C,Alexandria,Member,Female,Electronic accessories,78.13,10,2/10/2019,20:51,Cash,781.3,4.4,39.065
227-50-3718,A,Cairo,Normal,Male,Health and beauty,14.62,5,3/4/2019,12:23,Cash,73.1,4.4,3.655
227-78-1148,B,Ismailia,Normal,Female,Fashion accessories,72.84,7,2/15/2019,12:44,Cash,509.88,8.4,25.494
228-96-1411,C,Alexandria,Member,Female,Food and beverages,98.7,8,3/4/2019,20:39,Cash,789.6,7.6,39.48
232-11-3025,A,Cairo,Normal,Male,Sports and travel,78.77,10,1/24/2019,10:04,Cash,787.7,6.4,39.385
232-16-2483,C,Alexandria,Member,Female,Sports and travel,68.12,1,1/7/2019,12:28,eWallet,68.12,6.8,3.406
233-34-0817,C,Alexandria,Member,Female,Electronic accessories,98.84,1,2/15/2019,11:21,Cash,98.84,8.4,4.942
233-67-5758,C,Alexandria,Normal,Male,Health and beauty,40.35,1,1/29/2019,13:46,eWallet,40.35,6.2,2.0175
234-03-4040,B,Ismailia,Member,Female,Food and beverages,73.05,10,3/3/2019,12:25,Credit card,730.5,8.7,36.525
234-36-2483,B,Ismailia,Normal,Male,Health and beauty,57.59,6,2/15/2019,13:51,Cash,345.54,5.1,17.277
234-65-2137,C,Alexandria,Normal,Male,Home and lifestyle,95.58,10,1/16/2019,13:32,Cash,955.8,4.8,47.79
235-06-8510,C,Alexandria,Member,Male,Home and lifestyle,85.72,3,1/24/2019,20:59,eWallet,257.16,5.1,12.858
235-46-8343,C,Alexandria,Member,Male,Food and beverages,27.66,10,2/14/2019,11:26,Credit card,276.6,8.9,13.83
236-27-1144,C,Alexandria,Normal,Female,Food and beverages,16.31,9,3/26/2019,10:31,eWallet,146.79,8.4,7.3395
236-86-3015,C,Alexandria,Member,Male,Home and lifestyle,13.98,1,2/4/2019,13:38,eWallet,13.98,9.8,0.699
237-01-6122,C,Alexandria,Member,Female,Home and lifestyle,80.79,9,2/1/2019,20:31,Credit card,727.11,9.5,36.3555
237-44-6163,A,Cairo,Normal,Male,Electronic accessories,10.56,8,1/24/2019,17:43,Cash,84.48,7.6,4.224
238-45-6950,B,Ismailia,Member,Male,Food and beverages,53.72,1,3/1/2019,20:03,eWallet,53.72,6.4,2.686
238-49-0436,A,Cairo,Normal,Male,Health and beauty,32.46,8,3/27/2019,13:48,Credit card,259.68,4.9,12.984
239-10-7476,A,Cairo,Normal,Female,Home and lifestyle,77.95,6,1/21/2019,16:37,eWallet,467.7,8,23.385
239-36-3640,B,Ismailia,Normal,Male,Electronic accessories,45.35,6,1/31/2019,13:44,eWallet,272.1,6.1,13.605
239-48-4278,A,Cairo,Member,Male,Food and beverages,10.13,7,3/10/2019,19:35,eWallet,70.91,8.3,3.5455
241-11-2261,B,Ismailia,Normal,Female,Fashion accessories,79.86,7,1/10/2019,10:33,Credit card,559.02,5.5,27.951
241-72-9525,B,Ismailia,Normal,Male,Sports and travel,51.91,10,2/16/2019,12:21,Cash,519.1,8.2,25.955
241-96-5076,B,Ismailia,Member,Female,Home and lifestyle,49.1,2,1/8/2019,12:58,Credit card,98.2,6.4,4.91
242-11-3142,B,Ismailia,Member,Male,Fashion accessories,83.77,2,2/24/2019,19:57,Cash,167.54,4.6,8.377
242-55-6721,B,Ismailia,Normal,Male,Home and lifestyle,16.16,2,3/7/2019,11:49,eWallet,32.32,6.5,1.616
243-47-2663,C,Alexandria,Member,Male,Electronic accessories,18.77,6,1/28/2019,16:43,Credit card,112.62,5.5,5.631
243-55-8457,A,Cairo,Normal,Female,Food and beverages,74.44,10,2/27/2019,11:40,eWallet,744.4,5.1,37.22
244-08-0162,B,Ismailia,Normal,Female,Health and beauty,34.21,10,1/2/2019,13:00,Cash,342.1,5.1,17.105
246-11-3901,C,Alexandria,Normal,Female,Electronic accessories,32.8,10,2/15/2019,12:12,Cash,328,6.2,16.4
246-55-6923,C,Alexandria,Member,Female,Home and lifestyle,35.79,9,3/10/2019,15:06,Credit card,322.11,5.1,16.1055
247-11-2470,A,Cairo,Member,Female,Fashion accessories,22.32,4,3/1/2019,16:23,Credit card,89.28,4.4,4.464
249-42-3782,A,Cairo,Normal,Male,Health and beauty,70.01,5,1/3/2019,11:36,eWallet,350.05,5.5,17.5025
250-17-5703,A,Cairo,Member,Male,Food and beverages,18.85,10,2/27/2019,18:24,eWallet,188.5,5.6,9.425
250-81-7186,C,Alexandria,Normal,Female,Electronic accessories,99.69,1,2/27/2019,10:23,Credit card,99.69,8,4.9845
252-56-2699,A,Cairo,Normal,Male,Food and beverages,43.19,10,2/7/2019,16:48,eWallet,431.9,8.2,21.595
253-12-6086,A,Cairo,Member,Female,Sports and travel,98.4,7,3/12/2019,12:43,Credit card,688.8,8.7,34.44
254-31-0042,A,Cairo,Member,Male,Electronic accessories,21.5,9,3/6/2019,12:46,Credit card,193.5,7.8,9.675
256-08-8343,A,Cairo,Normal,Female,Home and lifestyle,56.53,4,3/4/2019,19:48,eWallet,226.12,5.5,11.306
256-58-3609,C,Alexandria,Member,Male,Fashion accessories,91.98,1,3/18/2019,15:29,Cash,91.98,9.8,4.599
257-60-7754,A,Cairo,Normal,Female,Electronic accessories,50.23,4,1/8/2019,17:12,Cash,200.92,9,10.046
257-73-1380,C,Alexandria,Member,Male,Sports and travel,82.93,4,1/20/2019,16:51,eWallet,331.72,9.6,16.586
258-69-7810,C,Alexandria,Normal,Female,Fashion accessories,36.85,5,1/26/2019,18:53,Cash,184.25,9.2,9.2125
258-92-7466,A,Cairo,Normal,Female,Health and beauty,35.68,5,2/6/2019,18:33,Credit card,178.4,6.6,8.92
261-12-8671,B,Ismailia,Normal,Female,Fashion accessories,60.96,2,1/25/2019,19:39,Credit card,121.92,4.9,6.096
262-47-2794,B,Ismailia,Member,Male,Home and lifestyle,71.86,8,3/6/2019,15:07,Credit card,574.88,6.2,28.744
263-10-3913,C,Alexandria,Member,Male,Fashion accessories,49.04,9,1/9/2019,14:20,Credit card,441.36,8.6,22.068
263-12-5321,A,Cairo,Member,Male,Electronic accessories,92.6,7,2/27/2019,12:52,Credit card,648.2,9.3,32.41
263-87-5680,C,Alexandria,Member,Female,Home and lifestyle,28.53,10,3/18/2019,17:38,eWallet,285.3,7.8,14.265
266-20-6657,C,Alexandria,Member,Male,Food and beverages,55.04,7,3/12/2019,19:39,eWallet,385.28,5.2,19.264
266-76-6436,C,Alexandria,Member,Female,Food and beverages,38.6,3,3/28/2019,13:57,eWallet,115.8,7.5,5.79
267-62-7380,C,Alexandria,Member,Male,Electronic accessories,82.34,10,3/29/2019,19:12,eWallet,823.4,4.3,41.17
268-03-6164,B,Ismailia,Normal,Male,Health and beauty,96.11,1,1/25/2019,16:28,eWallet,96.11,7.8,4.8055
268-20-3585,C,Alexandria,Normal,Female,Health and beauty,13.85,9,2/4/2019,12:50,eWallet,124.65,6,6.2325
268-27-6179,B,Ismailia,Member,Female,Fashion accessories,56.47,8,3/9/2019,14:57,eWallet,451.76,7.3,22.588
269-04-5750,B,Ismailia,Member,Male,Fashion accessories,73.82,4,2/21/2019,18:31,Cash,295.28,6.7,14.764
269-10-8440,A,Cairo,Member,Male,Health and beauty,53.17,7,1/21/2019,18:01,Cash,372.19,8.9,18.6095
271-77-8740,C,Alexandria,Member,Female,Sports and travel,29.22,6,1/1/2019,11:40,eWallet,175.32,5,8.766
271-88-8734,C,Alexandria,Member,Female,Fashion accessories,97.21,10,2/8/2019,13:00,Credit card,972.1,8.7,48.605
272-27-9238,C,Alexandria,Normal,Female,Food and beverages,41.24,4,2/19/2019,16:23,Cash,164.96,7.1,8.248
272-65-1806,A,Cairo,Normal,Female,Electronic accessories,60.88,9,1/15/2019,17:17,eWallet,547.92,4.7,27.396
273-16-6619,B,Ismailia,Normal,Male,Home and lifestyle,33.2,2,3/15/2019,12:20,Credit card,66.4,4.4,3.32
273-84-2164,C,Alexandria,Member,Male,Electronic accessories,12.05,5,2/16/2019,15:53,eWallet,60.25,5.5,3.0125
274-05-5470,A,Cairo,Member,Female,Food and beverages,73.47,4,2/23/2019,18:30,Cash,293.88,6,14.694
275-28-0149,A,Cairo,Normal,Male,Sports and travel,63.69,1,2/25/2019,16:21,Cash,63.69,6,3.1845
276-54-0879,B,Ismailia,Normal,Male,Sports and travel,97.74,4,3/12/2019,19:53,eWallet,390.96,6.4,19.548
276-75-6884,A,Cairo,Normal,Female,Health and beauty,68.71,3,3/4/2019,10:05,Cash,206.13,8.7,10.3065
277-35-5865,C,Alexandria,Member,Female,Food and beverages,98.97,9,3/9/2019,11:23,Cash,890.73,6.7,44.5365
277-63-2961,B,Ismailia,Member,Male,Sports and travel,73.97,1,2/3/2019,15:53,Credit card,73.97,5.4,3.6985
278-86-2735,A,Cairo,Normal,Female,Food and beverages,52.34,3,3/27/2019,14:03,Cash,157.02,9.2,7.851
278-97-7759,A,Cairo,Member,Female,Electronic accessories,62.48,1,2/18/2019,20:29,Cash,62.48,4.7,3.124
279-62-1445,C,Alexandria,Member,Female,Fashion accessories,12.54,1,2/21/2019,12:38,Cash,12.54,8.2,0.627
279-74-2924,B,Ismailia,Member,Male,Electronic accessories,72.17,1,1/4/2019,19:40,Cash,72.17,6.1,3.6085
280-17-4359,C,Alexandria,Member,Male,Health and beauty,90.5,10,1/25/2019,13:48,Cash,905,8.1,45.25
280-35-5823,B,Ismailia,Member,Female,Home and lifestyle,86.72,1,1/17/2019,18:45,eWallet,86.72,7.9,4.336
